Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          28.2636      28.2636       0.0000     0.0
0.0010          28.2603      27.8304       0.4299    41.1
0.0020          28.2459      26.5797       1.6662   159.1
0.0030          28.2272      24.6486       3.5787   341.8
0.0040          28.1755      22.2234       5.9521   568.5
0.0050          28.1882      19.5113       8.6768   828.7
0.0060          28.1350      16.7036      11.4313  1091.8
0.0070          28.0825      13.9723      14.1102  1347.7
0.0080          28.0319      11.4330      16.5988  1585.4
0.0090          28.0003       9.1583      18.8420  1799.6
0.0100          27.9661       7.1799      20.7862  1985.3
0.0110          28.0332       5.5026      22.5306  2151.9
0.0120          27.9775       4.1144      23.8631  2279.2
0.0130          27.8490       2.9953      24.8537  2373.8
0.0140          27.8132       2.1181      25.6950  2454.1
0.0150          27.7123       1.4551      26.2572  2507.8
0.0160          27.6799       0.9838      26.6961  2549.8
0.0170          27.7052       0.6855      27.0197  2580.7
0.0180          27.6718       0.5489      27.1229  2590.5
0.0190          27.5579       0.5682      26.9897  2577.8
0.0200          27.4877       0.7434      26.7442  2554.4
0.0210          27.4986       1.0814      26.4173  2523.1
0.0220          27.5009       1.5950      25.9059  2474.3
0.0230          27.4846       2.3021      25.1825  2405.2
0.0240          27.3344       3.2234      24.1110  2302.9
0.0250          27.3594       4.3833      22.9761  2194.5
0.0260          27.3469       5.8070      21.5398  2057.3
0.0270          27.3539       7.5125      19.8414  1895.1
0.0280          27.2470       9.5032      17.7438  1694.7
0.0290          27.2378      11.7639      15.4738  1477.9
0.0300          27.2483      14.2516      12.9966  1241.3
0.0310          27.2679      16.8862      10.3818   991.6
0.0320          27.2801      19.5416       7.7385   739.1
0.0330          27.2700      22.0576       5.2125   497.8
0.0340          27.3072      24.2460       3.0612   292.4
0.0350          27.3432      25.9215       1.4217   135.8
0.0360          27.3478      26.9191       0.4287    40.9
0.0370          27.3489      27.1328       0.2161    20.6
0.0380          27.3538      26.5479       0.8059    77.0
0.0390          27.3651      25.2180       2.1470   205.1
0.0400          27.3428      23.2840       4.0589   387.7
0.0410          27.3618      20.9208       6.4409   615.2
0.0420          27.3451      18.3231       9.0220   861.7
0.0430          27.3190      15.6671      11.6519  1112.9
0.0440          27.2784      13.0988      14.1797  1354.3
0.0450          27.2736      10.7211      16.5525  1580.9
0.0460          27.2874       8.5905      18.6969  1785.8
0.0470          27.3241       6.7360      20.5881  1966.4
0.0480          27.2419       5.1657      22.0762  2108.5
0.0490          27.1497       3.8689      23.2808  2223.6
0.0500          27.0933       2.8219      24.2714  2318.2
0.0510          27.0611       2.0006      25.0605  2393.5
0.0520          27.0454       1.3804      25.6650  2451.3
0.0530          26.9755       0.9424      26.0331  2486.4
0.0540          26.9183       0.6697      26.2486  2507.0
0.0550          26.8224       0.5522      26.2701  2509.1
0.0560          26.7629       0.5846      26.1783  2500.3
0.0570          26.7051       0.7676      25.9375  2477.3
0.0580          26.6608       1.1076      25.5533  2440.6
0.0590          26.5844       1.6158      24.9686  2384.8
0.0600          26.5053       2.3078      24.1975  2311.1
0.0610          26.4605       3.2028      23.2577  2221.4
0.0620          26.4534       4.3232      22.1302  2113.7
0.0630          26.4262       5.6880      20.7383  1980.7
0.0640          26.4611       7.3109      19.1502  1829.0
0.0650          26.4435       9.1936      17.2499  1647.5
0.0660          26.3953      11.3140      15.0814  1440.4
0.0670          26.3114      13.6238      12.6876  1211.8
0.0680          26.2760      16.0438      10.2323   977.3
0.0690          26.2392      18.4591       7.7801   743.1
0.0700          26.2545      20.7206       5.5340   528.6
0.0710          26.2407      22.6694       3.5713   341.1
0.0720          26.2394      24.1433       2.0961   200.2
0.0730          26.2616      25.0157       1.2459   119.0
0.0740          26.2652      25.2058       1.0594   101.2
0.0750          26.2575      24.7026       1.5549   148.5
0.0760          26.2569      23.5667       2.6902   256.9
